HEAD,RELATION,TAIL
新生儿溶血病,treated_by,人血白蛋白
人血白蛋白,to_treat,新生儿溶血病
新生儿溶血病,check_item,血常规检查
血常规检查,checked_for,新生儿溶血病
新生儿溶血病,complication_to,贫血
贫血,complication_to,新生儿溶血病
新生儿溶血病,complication_to,核黄疸
核黄疸,complication_to,新生儿溶血病
血型鉴定,related_to,rh血型不合
rh血型不合,related_to,血型鉴定
维生素a维生素d,adverse_reaction,便秘
便秘,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,发热
发热,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,头晕....
头晕....,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,呕吐
呕吐,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,头痛
头痛,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,恶心
恶心,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,疼痛
疼痛,adverse_reaction_of,维生素a维生素d
维生素a维生素d,adverse_reaction,关节痛
关节痛,adverse_reaction_of,维生素a维生素d
维生素a维生素d,to_treat,佝偻病
佝偻病,treated_by,维生素a维生素d
维生素a维生素d,to_treat,抽搐
抽搐,treated_by,维生素a维生素d
维生素a维生素d,to_treat,鼻炎
鼻炎,treated_by,维生素a维生素d
维生素a维生素d,to_treat,萎缩性鼻炎
萎缩性鼻炎,treated_by,维生素a维生素d
维生素a维生素d,to_treat,干燥性鼻炎
干燥性鼻炎,treated_by,维生素a维生素d
维生素a维生素d,to_treat,骨质疏松
骨质疏松,treated_by,维生素a维生素d
barrett食管,complication_to,疼痛
疼痛,complication_to,barrett食管
barrett食管,complication_to,消化性溃疡
消化性溃疡,complication_to,barrett食管
barrett食管,complication_to,反流食管炎
反流食管炎,complication_to,barrett食管
barrett食管,complication_to,溃疡
溃疡,complication_to,barrett食管
barrett食管,complication_to,食管炎
食管炎,complication_to,barrett食管
barrett食管,contains_symptom,疼痛
疼痛,symptom_of,barrett食管
barrett食管,contains_symptom,反流食管炎
反流食管炎,symptom_of,barrett食管
barrett食管,contains_symptom,食管癌
食管癌,symptom_of,barrett食管
barrett食管,contains_symptom,食管炎
食管炎,symptom_of,barrett食管
barrett食管,contains_symptom,烧心
烧心,symptom_of,barrett食管
barrett食管,contains_symptom,反酸
反酸,symptom_of,barrett食管
barrett食管,treated_by,奥美拉唑
奥美拉唑,to_treat,barrett食管
barrett食管,treated_by,多潘立酮
多潘立酮,to_treat,barrett食管
胰岛素瘤,complication_to,低血糖
低血糖,complication_to,胰岛素瘤
胰岛素瘤,complication_to,昏迷
昏迷,complication_to,胰岛素瘤
胰岛素瘤,complication_to,低血糖.........
低血糖.........,complication_to,胰岛素瘤
胰岛素瘤,contains_symptom,恶心
恶心,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,肥胖
肥胖,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,出冷汗
出冷汗,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,腹泻病
腹泻病,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,低血糖.........
低血糖.........,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,低血糖
低血糖,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,昏迷
昏迷,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,意识障碍
意识障碍,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,消瘦
消瘦,symptom_of,胰岛素瘤
胰岛素瘤,contains_symptom,呕吐
呕吐,symptom_of,胰岛素瘤
胰岛素瘤,treated_by,葡萄糖
葡萄糖,to_treat,胰岛素瘤
胰岛素瘤,treated_by,苯妥英钠
苯妥英钠,to_treat,胰岛素瘤
胰岛素瘤,treated_by,冻干人血浆
冻干人血浆,to_treat,胰岛素瘤
ct平扫,related_to,高血压
高血压,related_to,ct平扫
ct平扫,related_to,肝癌
肝癌,related_to,ct平扫
ct平扫,related_to,高血压脑出血
高血压脑出血,related_to,ct平扫
eb病毒感染,related_to,发热
发热,related_to,eb病毒感染
eb病毒感染,related_to,脑炎
脑炎,related_to,eb病毒感染
eb病毒感染,related_to,呼吸道感染
呼吸道感染,related_to,eb病毒感染
eb病毒感染,related_to,心肌炎
心肌炎,related_to,eb病毒感染
eb病毒感染,related_to,扁桃体炎
扁桃体炎,related_to,eb病毒感染
eb病毒感染,related_to,肾小球肾炎
肾小球肾炎,related_to,eb病毒感染
eb病毒感染,related_to,脾大
脾大,related_to,eb病毒感染
eb病毒感染,related_to,肝功能异常
肝功能异常,related_to,eb病毒感染
eb病毒感染,related_to,淋巴结肿大
淋巴结肿大,related_to,eb病毒感染
eb病毒感染,related_to,肺炎
肺炎,related_to,eb病毒感染
eb病毒感染,related_to,皮疹
皮疹,related_to,eb病毒感染
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,感染
感染,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,红细胞增多症
红细胞增多症,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,贫血
贫血,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,溶血
溶血,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,肺炎
肺炎,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,contains_symptom,黄疸
黄疸,symptom_of,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,complication_to,贫血
贫血,complication_to,葡萄糖-6-磷酸脱氢酶缺陷症
葡萄糖-6-磷酸脱氢酶缺陷症,complication_to,溶血
溶血,complication_to,葡萄糖-6-磷酸脱氢酶缺陷症
弥漫性毒性甲状腺肿,contains_symptom,紧张
紧张,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,感染
感染,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,勃起功能障碍
勃起功能障碍,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,失眠症
失眠症,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,紫癜
紫癜,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,疲乏
疲乏,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,甲状旁腺功能亢进症
甲状旁腺功能亢进症,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,甲状腺肿大
甲状腺肿大,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,眼球突出
眼球突出,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,contains_symptom,心悸
心悸,symptom_of,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,complication_to,甲状旁腺功能亢进症
甲状旁腺功能亢进症,complication_to,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,complication_to,甲状腺肿
甲状腺肿,complication_to,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,complication_to,眼球突出
眼球突出,complication_to,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,complication_to,感染
感染,complication_to,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,treated_by,甲巯咪唑
甲巯咪唑,to_treat,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,treated_by,丙硫氧嘧啶
丙硫氧嘧啶,to_treat,弥漫性毒性甲状腺肿
弥漫性毒性甲状腺肿,treated_by,普萘洛尔
普萘洛尔,to_treat,弥漫性毒性甲状腺肿
iga肾病,contains_symptom,一过性肉眼血尿
一过性肉眼血尿,symptom_of,iga肾病
iga肾病,contains_symptom,血尿
血尿,symptom_of,iga肾病
iga肾病,contains_symptom,蛋白尿
蛋白尿,symptom_of,iga肾病
iga肾病,related_to,慢性肾衰竭
慢性肾衰竭,related_to,iga肾病
iga肾病,related_to,慢性肾炎
慢性肾炎,related_to,iga肾病
iga肾病,related_to,肾小球肾炎
肾小球肾炎,related_to,iga肾病
iga肾病,related_to,高血压
高血压,related_to,iga肾病
iga肾病,related_to,急性肾衰竭
急性肾衰竭,related_to,iga肾病
iga肾病,treated_by,ω3脂肪酸
ω3脂肪酸,to_treat,iga肾病
iga肾病,treated_by,球红霉素
球红霉素,to_treat,iga肾病
iga肾病,treated_by,泼尼松
泼尼松,to_treat,iga肾病
iga肾病,complication_to,慢性肾炎
慢性肾炎,complication_to,iga肾病
iga肾病,complication_to,高血压
高血压,complication_to,iga肾病
iga肾病,complication_to,急性肾衰竭
急性肾衰竭,complication_to,iga肾病
iga肾病,caused_by,腹泻病
腹泻病,lead_to,iga肾病
iga肾病,caused_by,上呼吸道感染
上呼吸道感染,lead_to,iga肾病
酸碱度ph值测定,related_to,哮喘
哮喘,related_to,酸碱度ph值测定
rh血型不合,contains_symptom,胸腔积液
胸腔积液,symptom_of,rh血型不合
rh血型不合,contains_symptom,腹水
腹水,symptom_of,rh血型不合
rh血型不合,contains_symptom,溶血
溶血,symptom_of,rh血型不合
rh血型不合,contains_symptom,充血性心力衰竭
充血性心力衰竭,symptom_of,rh血型不合
rh血型不合,contains_symptom,红细胞增多症
红细胞增多症,symptom_of,rh血型不合
rh血型不合,contains_symptom,水肿
水肿,symptom_of,rh血型不合
rh血型不合,contains_symptom,黄疸
黄疸,symptom_of,rh血型不合
rh血型不合,contains_symptom,嗜睡
嗜睡,symptom_of,rh血型不合
rh血型不合,contains_symptom,贫血
贫血,symptom_of,rh血型不合
rh血型不合,complication_to,感染
感染,complication_to,rh血型不合
rh血型不合,complication_to,高胆红素血症
高胆红素血症,complication_to,rh血型不合
rh血型不合,complication_to,惊厥
惊厥,complication_to,rh血型不合
rh血型不合,complication_to,早产儿
早产儿,complication_to,rh血型不合
rh血型不合,complication_to,代谢性酸中毒
代谢性酸中毒,complication_to,rh血型不合
rh血型不合,complication_to,黄疸
黄疸,complication_to,rh血型不合
rh血型不合,complication_to,嗜睡
嗜睡,complication_to,rh血型不合
rh血型不合,complication_to,核黄疸
核黄疸,complication_to,rh血型不合
rh血型不合,treated_by,人血丙种球蛋白
人血丙种球蛋白,to_treat,rh血型不合
rh血型不合,treated_by,人血白蛋白
人血白蛋白,to_treat,rh血型不合
塞泽里综合征,contains_symptom,乏力
乏力,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,继发感染
继发感染,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,皮肤干燥
皮肤干燥,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,体重减轻
体重减轻,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,营养不良
营养不良,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,发热
发热,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,水肿
水肿,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,淋巴结肿大
淋巴结肿大,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,瘙痒症
瘙痒症,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,眶周色素沉着
眶周色素沉着,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,感染
感染,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,结节
结节,symptom_of,塞泽里综合征
塞泽里综合征,contains_symptom,皮疹
皮疹,symptom_of,塞泽里综合征
塞泽里综合征,caused_by,病毒感染
病毒感染,lead_to,塞泽里综合征
塞泽里综合征,treated_by,泼尼松
泼尼松,to_treat,塞泽里综合征
塞泽里综合征,treated_by,维a酸
维a酸,to_treat,塞泽里综合征
t细胞淋巴瘤,complication_to,上消化道出血
上消化道出血,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,出血......
出血......,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,腹痛
腹痛,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,咳嗽
咳嗽,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,淋巴结肿大
淋巴结肿大,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,发热
发热,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,贫血
贫血,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,complication_to,呼吸困难
呼吸困难,complication_to,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,腹泻病
腹泻病,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,贫血
贫血,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,肿瘤
肿瘤,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,腹痛
腹痛,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,高热
高热,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,咳嗽
咳嗽,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,发热
发热,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,乏力
乏力,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,瘫痪
瘫痪,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,出血......
出血......,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,contains_symptom,溃疡
溃疡,symptom_of,t细胞淋巴瘤
t细胞淋巴瘤,treated_by,环磷酰胺
环磷酰胺,to_treat,t细胞淋巴瘤
t细胞淋巴瘤,treated_by,泼尼松
泼尼松,to_treat,t细胞淋巴瘤
肾小球肾炎,contains_symptom,水肿
水肿,symptom_of,肾小球肾炎
肾小球肾炎,related_to,蛋白尿
蛋白尿,related_to,肾小球肾炎
肾小球肾炎,related_to,慢性肾衰竭
慢性肾衰竭,related_to,肾小球肾炎
肾小球肾炎,related_to,咽炎
咽炎,related_to,肾小球肾炎
肾小球肾炎,related_to,高血压
高血压,related_to,肾小球肾炎
肾小球肾炎,related_to,高脂血症
高脂血症,related_to,肾小球肾炎
肾小球肾炎,related_to,低蛋白血症
低蛋白血症,related_to,肾小球肾炎
肾小球肾炎,related_to,高胆固醇血症
高胆固醇血症,related_to,肾小球肾炎
肾小球肾炎,treated_by,氢氯噻嗪
氢氯噻嗪,to_treat,肾小球肾炎
肾小球肾炎,treated_by,葡萄糖
葡萄糖,to_treat,肾小球肾炎
肾小球肾炎,treated_by,人血白蛋白
人血白蛋白,to_treat,肾小球肾炎
肾小球肾炎,treated_by,螺内酯
螺内酯,to_treat,肾小球肾炎
肾小球肾炎,treated_by,冻干人血浆
冻干人血浆,to_treat,肾小球肾炎
肾小球肾炎,treated_by,硝苯地平
硝苯地平,to_treat,肾小球肾炎
肾小球肾炎,treated_by,氯化钠
氯化钠,to_treat,肾小球肾炎
肾小球肾炎,complication_to,血栓形成
血栓形成,complication_to,肾小球肾炎
肾小球肾炎,complication_to,泌尿道感染
泌尿道感染,complication_to,肾小球肾炎
肥厚性心肌病,to_treat,心律失常
心律失常,treated_by,肥厚性心肌病
肥厚性心肌病,to_treat,高血压
高血压,treated_by,肥厚性心肌病
肥厚性心肌病,to_treat,原发性高血压
原发性高血压,treated_by,肥厚性心肌病
肥厚性心肌病,to_treat,心绞痛
心绞痛,treated_by,肥厚性心肌病
肥厚性心肌病,to_treat,嗜铬细胞瘤
嗜铬细胞瘤,treated_by,肥厚性心肌病
肥厚性心肌病,adverse_reaction,呼吸困难
呼吸困难,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,抑郁
抑郁,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,心动过缓
心动过缓,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,头痛
头痛,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,眩晕
眩晕,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,充血性心力衰竭
充血性心力衰竭,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,失眠症
失眠症,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,心肌梗塞
心肌梗塞,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,皮疹
皮疹,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,疲劳
疲劳,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,睡眠障碍
睡眠障碍,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,恶心
恶心,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,低血压
低血压,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,胸痛
胸痛,adverse_reaction_of,肥厚性心肌病
肥厚性心肌病,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,肥厚性心肌病
埃美丁,to_treat,结膜炎
结膜炎,treated_by,埃美丁
埃美丁,adverse_reaction,咽部异物感
咽部异物感,adverse_reaction_of,埃美丁
埃美丁,adverse_reaction,充血
充血,adverse_reaction_of,埃美丁
埃美丁,adverse_reaction,流泪
流泪,adverse_reaction_of,埃美丁
埃美丁,adverse_reaction,鼻炎
鼻炎,adverse_reaction_of,埃美丁
埃索美拉唑,to_treat,食管炎
食管炎,treated_by,埃索美拉唑
埃索美拉唑,to_treat,十二指肠溃疡
十二指肠溃疡,treated_by,埃索美拉唑
埃索美拉唑,to_treat,感染
感染,treated_by,埃索美拉唑
埃索美拉唑,to_treat,反流食管炎
反流食管炎,treated_by,埃索美拉唑
埃索美拉唑,to_treat,功能性消化不良
功能性消化不良,treated_by,埃索美拉唑
埃索美拉唑,to_treat,出血......
出血......,treated_by,埃索美拉唑
埃索美拉唑,to_treat,幽门螺杆菌感染
幽门螺杆菌感染,treated_by,埃索美拉唑
埃索美拉唑,to_treat,烧心
烧心,treated_by,埃索美拉唑
埃索美拉唑,to_treat,消化性溃疡
消化性溃疡,treated_by,埃索美拉唑
埃索美拉唑,adverse_reaction,头晕....
头晕....,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,胃肠功能紊乱
胃肠功能紊乱,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,恶心
恶心,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,无力
无力,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,荨麻疹
荨麻疹,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,失眠症
失眠症,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,嗜睡
嗜睡,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,疲劳
疲劳,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,腹胀
腹胀,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,发热
发热,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,口干
口干,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,乏力
乏力,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,休克
休克,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,瘙痒
瘙痒,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,胀气
胀气,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,呕吐
呕吐,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,腹痛
腹痛,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,水肿
水肿,adverse_reaction_of,埃索美拉唑
埃索美拉唑,adverse_reaction,头痛
头痛,adverse_reaction_of,埃索美拉唑
庆大霉素,to_treat,结膜炎
结膜炎,treated_by,庆大霉素
庆大霉素,to_treat,脑膜炎
脑膜炎,treated_by,庆大霉素
庆大霉素,to_treat,肺炎
肺炎,treated_by,庆大霉素
庆大霉素,to_treat,泌尿道感染
泌尿道感染,treated_by,庆大霉素
庆大霉素,adverse_reaction,呼吸困难
呼吸困难,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,呕吐
呕吐,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,眩晕
眩晕,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,蛋白尿
蛋白尿,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,血尿
血尿,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,耳鸣
耳鸣,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,皮疹
皮疹,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,恶心
恶心,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,耳聋
耳聋,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,发热
发热,adverse_reaction_of,庆大霉素
庆大霉素,adverse_reaction,嗜睡
嗜睡,adverse_reaction_of,庆大霉素
急性应激反应,contains_symptom,紧张
紧张,symptom_of,急性应激反应
急性应激反应,treated_by,氯丙嗪
氯丙嗪,to_treat,急性应激反应
急性应激反应,treated_by,地西泮
地西泮,to_treat,急性应激反应
应激性溃疡,contains_symptom,压痛
压痛,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,贫血
贫血,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,上消化道出血
上消化道出血,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,腹痛
腹痛,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,反酸
反酸,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,功能性消化不良
功能性消化不良,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,紧张
紧张,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,呕血
呕血,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,出血......
出血......,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,胃炎
胃炎,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,消化性溃疡
消化性溃疡,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,溃疡
溃疡,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,右上腹痛
右上腹痛,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,感染
感染,symptom_of,应激性溃疡
应激性溃疡,contains_symptom,食欲减退
食欲减退,symptom_of,应激性溃疡
应激性溃疡,treated_by,东亚小金发藓
东亚小金发藓,to_treat,应激性溃疡
应激性溃疡,complication_to,出血......
出血......,complication_to,应激性溃疡
应激性溃疡,complication_to,溃疡
溃疡,complication_to,应激性溃疡
应激性溃疡,complication_to,呕血
呕血,complication_to,应激性溃疡
应激性溃疡,check_item,胃镜检查
胃镜检查,checked_for,应激性溃疡
应激性溃疡,treated_by,阿司匹林
阿司匹林,to_treat,应激性溃疡
应激性溃疡,treated_by,奥美拉唑
奥美拉唑,to_treat,应激性溃疡
应激性溃疡,caused_by,创伤
创伤,lead_to,应激性溃疡
小儿氨酚黄那敏片,to_treat,流行性感冒
流行性感冒,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,to_treat,打喷嚏
打喷嚏,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,to_treat,鼻塞
鼻塞,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,to_treat,发热
发热,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,to_treat,头痛
头痛,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,to_treat,咽痛
咽痛,treated_by,小儿氨酚黄那敏片
小儿氨酚黄那敏片,adverse_reaction,恶心
恶心,adverse_reaction_of,小儿氨酚黄那敏片
小儿氨酚黄那敏片,adverse_reaction,皮疹
皮疹,adverse_reaction_of,小儿氨酚黄那敏片
小儿氨酚黄那敏颗粒,adverse_reaction,皮疹
皮疹,adverse_reaction_of,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,adverse_reaction,恶心
恶心,adverse_reaction_of,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,adverse_reaction,头晕....
头晕....,adverse_reaction_of,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,adverse_reaction,肾小球肾炎
肾小球肾炎,adverse_reaction_of,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,adverse_reaction,肾功能衰竭
肾功能衰竭,adverse_reaction_of,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,头痛
头痛,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,打喷嚏
打喷嚏,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,咽痛
咽痛,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,鼻塞
鼻塞,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,咽炎
咽炎,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,流行性感冒
流行性感冒,treated_by,小儿氨酚黄那敏颗粒
小儿氨酚黄那敏颗粒,to_treat,发热
发热,treated_by,小儿氨酚黄那敏颗粒
