HEAD,RELATION,TAIL
脑梗,related_to,颅内出血
颅内出血,related_to,非典后遗症
非典后遗症,related_to,颅内出血
颅内出血,related_to,高血压
高血压,related_to,颅内出血
颅内出血,related_to,头晕
头晕,related_to,颅内出血
心电图异常,related_to,预激综合征
预激综合征,related_to,心电图异常
心电图异常,related_to,心肌炎
心肌炎,related_to,心电图异常
心电图异常,related_to,神经母细胞瘤
神经母细胞瘤,related_to,心电图异常
心电图异常,related_to,无症状性冠心病
无症状性冠心病,related_to,心电图异常
心电图异常,related_to,小儿急性阑尾炎
小儿急性阑尾炎,related_to,心电图异常
心电图异常,check_item,动态心电图holter监测
动态心电图holter监测,checked_for,心电图异常
心电图异常,check_item,胸部ct检查
胸部ct检查,checked_for,心电图异常
心电图异常,related_to,高血压
高血压,related_to,心电图异常
头孢米诺,to_treat,肾炎
肾炎,treated_by,头孢米诺
头孢米诺,to_treat,鼻旁窦炎
鼻旁窦炎,treated_by,头孢米诺
头孢米诺,to_treat,感染
感染,treated_by,头孢米诺
头孢米诺,to_treat,结节
结节,treated_by,头孢米诺
头孢米诺,to_treat,肾功能衰竭
肾功能衰竭,treated_by,头孢米诺
头孢米诺,adverse_reaction,荨麻疹
荨麻疹,adverse_reaction_of,头孢米诺
头孢米诺,adverse_reaction,恶心
恶心,adverse_reaction_of,头孢米诺
头孢米诺,adverse_reaction,高血压
高血压,adverse_reaction_of,头孢米诺
头孢米诺,to_treat,小儿多发性肾小管功能障碍综合征
小儿多发性肾小管功能障碍综合征,treated_by,头孢米诺
头孢米诺,to_treat,心慌气短
心慌气短,treated_by,头孢米诺
镇痛剂肾病,complication_to,出血
出血,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,感染
感染,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,溃疡
溃疡,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,抑郁
抑郁,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,紧张
紧张,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,泌尿道感染
泌尿道感染,complication_to,镇痛剂肾病
镇痛剂肾病,contains_symptom,头痛
头痛,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,泌尿道感染
泌尿道感染,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,血尿......
血尿......,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,感染
感染,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,溃疡
溃疡,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,抑郁
抑郁,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,出血
出血,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,紧张
紧张,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,淋巴结节
淋巴结节,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,一过性肉眼血尿
一过性肉眼血尿,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,疼痛...
疼痛...,symptom_of,镇痛剂肾病
镇痛剂肾病,related_to,出血
出血,related_to,镇痛剂肾病
镇痛剂肾病,related_to,痔
痔,related_to,镇痛剂肾病
镇痛剂肾病,related_to,腹泻病
腹泻病,related_to,镇痛剂肾病
镇痛剂肾病,related_to,感染
感染,related_to,镇痛剂肾病
镇痛剂肾病,related_to,淋巴结肿大
淋巴结肿大,related_to,镇痛剂肾病
三叉神经的面部感觉检查,related_to,疼痛...
疼痛...,related_to,三叉神经的面部感觉检查
三叉神经的面部感觉检查,related_to,抽搐
抽搐,related_to,三叉神经的面部感觉检查
三叉神经的面部感觉检查,related_to,创伤
创伤,related_to,三叉神经的面部感觉检查
三叉神经的面部感觉检查,related_to,三叉神经痛
三叉神经痛,related_to,三叉神经的面部感觉检查
三叉神经的面部感觉检查,related_to,肌肉痉挛
肌肉痉挛,related_to,三叉神经的面部感觉检查
爱唐综合症,contains_symptom,心电图异常
心电图异常,symptom_of,爱唐综合症
爱唐综合症,contains_symptom,高血压
高血压,symptom_of,爱唐综合症
爱唐综合症,related_to,小儿支气管肺发育不全
小儿支气管肺发育不全,related_to,爱唐综合症
爱唐综合症,related_to,男性更年期
男性更年期,related_to,爱唐综合症
爱唐综合症,related_to,失眠症
失眠症,related_to,爱唐综合症
爱唐综合症,check_item,血常规检查
血常规检查,checked_for,爱唐综合症
爱唐综合症,treated_by,齐多夫定拉米夫定
齐多夫定拉米夫定,to_treat,爱唐综合症
吸气时有蝉鸣音,check_item,腹腔镜检查
腹腔镜检查,checked_for,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,血栓
血栓,related_to,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,漏斗胸
漏斗胸,related_to,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,腺样体肥大
腺样体肥大,related_to,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,咽囊炎
咽囊炎,related_to,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,......咳嗽
......咳嗽,related_to,吸气时有蝉鸣音
吸气时有蝉鸣音,related_to,注意力缺乏多动症
注意力缺乏多动症,related_to,吸气时有蝉鸣音
普卢利沙星,adverse_reaction,腹痛
腹痛,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,皮疹
皮疹,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,头晕
头晕,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,嗜酸性粒细胞增多
嗜酸性粒细胞增多,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,胃肠道症状
胃肠道症状,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,普卢利沙星
普卢利沙星,adverse_reaction,荨麻疹
荨麻疹,adverse_reaction_of,普卢利沙星
普卢利沙星,to_treat,毒蛇咬伤
毒蛇咬伤,treated_by,普卢利沙星
普卢利沙星,to_treat,腹部损伤
腹部损伤,treated_by,普卢利沙星
普卢利沙星,to_treat,肿瘤
肿瘤,treated_by,普卢利沙星
普卢利沙星,to_treat,肾功能衰竭
肾功能衰竭,treated_by,普卢利沙星
普卢利沙星,to_treat,疼痛...
疼痛...,treated_by,普卢利沙星
注射用甲氨喋呤,adverse_reaction,蛋白尿
蛋白尿,adverse_reaction_of,注射用甲氨喋呤
注射用甲氨喋呤,adverse_reaction,瘀斑
瘀斑,adverse_reaction_of,注射用甲氨喋呤
注射用甲氨喋呤,adverse_reaction,胃炎
胃炎,adverse_reaction_of,注射用甲氨喋呤
注射用甲氨喋呤,adverse_reaction,血尿......
血尿......,adverse_reaction_of,注射用甲氨喋呤
注射用甲氨喋呤,adverse_reaction,出血
出血,adverse_reaction_of,注射用甲氨喋呤
注射用甲氨喋呤,to_treat,肾功能衰竭
肾功能衰竭,treated_by,注射用甲氨喋呤
注射用甲氨喋呤,to_treat,蛋白尿
蛋白尿,treated_by,注射用甲氨喋呤
注射用甲氨喋呤,to_treat,尿常规异常
尿常规异常,treated_by,注射用甲氨喋呤
注射用甲氨喋呤,to_treat,血尿......
血尿......,treated_by,注射用甲氨喋呤
注射用甲氨喋呤,to_treat,小儿多发性肾小管功能障碍综合征
小儿多发性肾小管功能障碍综合征,treated_by,注射用甲氨喋呤
疝气,contains_symptom,......咳嗽
......咳嗽,symptom_of,疝气
疝气,contains_symptom,便秘
便秘,symptom_of,疝气
疝气,related_to,腹部损伤
腹部损伤,related_to,疝气
疝气,related_to,小儿急性阑尾炎
小儿急性阑尾炎,related_to,疝气
疝气,related_to,斜疝
斜疝,related_to,疝气
疝气,related_to,睾丸鞘膜积液
睾丸鞘膜积液,related_to,疝气
疝气,related_to,肺出血-贤炎综合征
肺出血-贤炎综合征,related_to,疝气
疝气,check_item,腹腔镜检查
腹腔镜检查,checked_for,疝气
曲马多,to_treat,牙痛
牙痛,treated_by,曲马多
曲马多,to_treat,神经痛
神经痛,treated_by,曲马多
曲马多,to_treat,疼痛...
疼痛...,treated_by,曲马多
曲马多,to_treat,癌症
癌症,treated_by,曲马多
曲马多,adverse_reaction,痛风
痛风,adverse_reaction_of,曲马多
曲马多,adverse_reaction,发热
发热,adverse_reaction_of,曲马多
曲马多,adverse_reaction,呕吐
呕吐,adverse_reaction_of,曲马多
曲马多,adverse_reaction,恶心
恶心,adverse_reaction_of,曲马多
曲马多,adverse_reaction,食管癌
食管癌,adverse_reaction_of,曲马多
曲马多,adverse_reaction,头痛
头痛,adverse_reaction_of,曲马多
曲马多,to_treat,化妆品皮炎
化妆品皮炎,treated_by,曲马多
曲马多,to_treat,痤疮
痤疮,treated_by,曲马多
云南白药,adverse_reaction,胸闷
胸闷,adverse_reaction_of,云南白药
云南白药,adverse_reaction,呕吐
呕吐,adverse_reaction_of,云南白药
云南白药,to_treat,感染
感染,treated_by,云南白药
云南白药,to_treat,出血
出血,treated_by,云南白药
云南白药,to_treat,疼痛...
疼痛...,treated_by,云南白药
云南白药,to_treat,大
大,treated_by,云南白药
云南白药,to_treat,胃痛
胃痛,treated_by,云南白药
云南白药,to_treat,毒蛇咬伤
毒蛇咬伤,treated_by,云南白药
云南白药,to_treat,骨折
骨折,treated_by,云南白药
粟丘疹,contains_symptom,湿疹
湿疹,symptom_of,粟丘疹
粟丘疹,related_to,汗管瘤
汗管瘤,related_to,粟丘疹
粟丘疹,related_to,皮脂腺癌
皮脂腺癌,related_to,粟丘疹
粟丘疹,related_to,白癜风
白癜风,related_to,粟丘疹
粟丘疹,related_to,痤疮
痤疮,related_to,粟丘疹
粟丘疹,related_to,单纯糠疹
单纯糠疹,related_to,粟丘疹
粟丘疹,treated_by,齐多夫定拉米夫定
齐多夫定拉米夫定,to_treat,粟丘疹
眼眶平滑肌瘤,contains_symptom,肿瘤
肿瘤,symptom_of,眼眶平滑肌瘤
眼眶平滑肌瘤,contains_symptom,疼痛...
疼痛...,symptom_of,眼眶平滑肌瘤
眼眶平滑肌瘤,check_item,小气脑ct扫描
小气脑ct扫描,checked_for,眼眶平滑肌瘤
眼眶平滑肌瘤,check_item,尿道口检查
尿道口检查,checked_for,眼眶平滑肌瘤
眼眶平滑肌瘤,related_to,阴茎折断
阴茎折断,related_to,眼眶平滑肌瘤
眼眶平滑肌瘤,related_to,腹部损伤
腹部损伤,related_to,眼眶平滑肌瘤
眼眶平滑肌瘤,related_to,肿瘤
肿瘤,related_to,眼眶平滑肌瘤
眼眶平滑肌瘤,related_to,早泄
早泄,related_to,眼眶平滑肌瘤
眼眶平滑肌瘤,related_to,焦虑障碍
焦虑障碍,related_to,眼眶平滑肌瘤
眼眶平滑肌瘤,treated_by,伊马替尼
伊马替尼,to_treat,眼眶平滑肌瘤
眼眶平滑肌瘤,treated_by,坦洛新
坦洛新,to_treat,眼眶平滑肌瘤
眼眶平滑肌瘤,treated_by,护肝颗粒
护肝颗粒,to_treat,眼眶平滑肌瘤
非索非那定,to_treat,水肿
水肿,treated_by,非索非那定
非索非那定,to_treat,风团
风团,treated_by,非索非那定
非索非那定,to_treat,变应性鼻炎
变应性鼻炎,treated_by,非索非那定
非索非那定,to_treat,荨麻疹
荨麻疹,treated_by,非索非那定
非索非那定,to_treat,免疫性溶血
免疫性溶血,treated_by,非索非那定
非索非那定,adverse_reaction,呕吐
呕吐,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,血管神经性水肿
血管神经性水肿,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,荨麻疹
荨麻疹,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,恶心
恶心,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,感染
感染,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,心电图异常
心电图异常,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,发热
发热,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,疼痛...
疼痛...,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,皮疹
皮疹,adverse_reaction_of,非索非那定
非索非那定,adverse_reaction,水肿
水肿,adverse_reaction_of,非索非那定
非索非那定,to_treat,红斑狼疮
红斑狼疮,treated_by,非索非那定
非索非那定,to_treat,急性上呼吸道感染
急性上呼吸道感染,treated_by,非索非那定
非索非那定,to_treat,哮喘
哮喘,treated_by,非索非那定
非索非那定,to_treat,丘疹性荨麻疹
丘疹性荨麻疹,treated_by,非索非那定
白绒,to_treat,......咳嗽
......咳嗽,treated_by,白绒
白绒,to_treat,肺纤维化
肺纤维化,treated_by,白绒
白绒,to_treat,毒蛇咬伤
毒蛇咬伤,treated_by,白绒
白绒,to_treat,急性上呼吸道感染
急性上呼吸道感染,treated_by,白绒
白绒,to_treat,肺炎
肺炎,treated_by,白绒
对称性胸痛,related_to,......咳嗽
......咳嗽,related_to,对称性胸痛
对称性胸痛,related_to,湿疹
湿疹,related_to,对称性胸痛
对称性胸痛,related_to,浮肿
浮肿,related_to,对称性胸痛
对称性胸痛,related_to,疼痛...
疼痛...,related_to,对称性胸痛
对称性胸痛,related_to,面神经麻痹
面神经麻痹,related_to,对称性胸痛
对称性胸痛,related_to,类肉瘤病
类肉瘤病,related_to,对称性胸痛
对称性胸痛,related_to,多发性骨髓瘤
多发性骨髓瘤,related_to,对称性胸痛
洋葱,to_treat,狂犬病
狂犬病,treated_by,洋葱
洋葱,to_treat,肾功能衰竭
肾功能衰竭,treated_by,洋葱
保列治,adverse_reaction,皮疹
皮疹,adverse_reaction_of,保列治
保列治,to_treat,...脱发
...脱发,treated_by,保列治
保列治,to_treat,前列腺增生
前列腺增生,treated_by,保列治
保列治,to_treat,前列腺炎
前列腺炎,treated_by,保列治
保列治,to_treat,银屑病性关节炎
银屑病性关节炎,treated_by,保列治
保列治,to_treat,前列腺癌
前列腺癌,treated_by,保列治
右归胶囊,to_treat,前列腺炎
前列腺炎,treated_by,右归胶囊
右归胶囊,to_treat,勃起功能障碍
勃起功能障碍,treated_by,右归胶囊
右归胶囊,to_treat,糖皮质激素依赖性皮炎
糖皮质激素依赖性皮炎,treated_by,右归胶囊
右归胶囊,to_treat,尿频
尿频,treated_by,右归胶囊
右归胶囊,to_treat,器质性弱视
器质性弱视,treated_by,右归胶囊
系膜增生性肾炎,complication_to,肾小球肾炎
肾小球肾炎,complication_to,系膜增生性肾炎
系膜增生性肾炎,complication_to,血小板增多
血小板增多,complication_to,系膜增生性肾炎
系膜增生性肾炎,complication_to,水肿
水肿,complication_to,系膜增生性肾炎
系膜增生性肾炎,complication_to,急性肾衰竭
急性肾衰竭,complication_to,系膜增生性肾炎
系膜增生性肾炎,complication_to,感染
感染,complication_to,系膜增生性肾炎
系膜增生性肾炎,complication_to,肾功能衰竭
肾功能衰竭,complication_to,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,急性肾衰竭
急性肾衰竭,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,肾炎
肾炎,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,肾小球肾炎
肾小球肾炎,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,血尿......
血尿......,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,蛋白尿
蛋白尿,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,感染
感染,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,高血压
高血压,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,红细胞增多症
红细胞增多症,symptom_of,系膜增生性肾炎
系膜增生性肾炎,contains_symptom,息肉
息肉,symptom_of,系膜增生性肾炎
系膜增生性肾炎,related_to,瘢痕
瘢痕,related_to,系膜增生性肾炎
系膜增生性肾炎,related_to,类肉瘤病
类肉瘤病,related_to,系膜增生性肾炎
系膜增生性肾炎,related_to,肿瘤
肿瘤,related_to,系膜增生性肾炎
系膜增生性肾炎,related_to,淋巴结炎
淋巴结炎,related_to,系膜增生性肾炎
系膜增生性肾炎,related_to,急性上呼吸道感染
急性上呼吸道感染,related_to,系膜增生性肾炎
系膜增生性肾炎,treated_by,齐多夫定拉米夫定
齐多夫定拉米夫定,to_treat,系膜增生性肾炎
二硫化硒,to_treat,脂溢性皮炎
脂溢性皮炎,treated_by,二硫化硒
二硫化硒,to_treat,...脱发
...脱发,treated_by,二硫化硒
二硫化硒,to_treat,酒渣鼻
酒渣鼻,treated_by,二硫化硒
二硫化硒,to_treat,出血
出血,treated_by,二硫化硒
二硫化硒,to_treat,子宫肌瘤
子宫肌瘤,treated_by,二硫化硒
子宫腺肌病,contains_symptom,流产
流产,symptom_of,子宫腺肌病
子宫腺肌病,contains_symptom,月经过多
月经过多,symptom_of,子宫腺肌病
子宫腺肌病,contains_symptom,贫血
贫血,symptom_of,子宫腺肌病
子宫腺肌病,contains_symptom,痛经
痛经,symptom_of,子宫腺肌病
子宫腺肌病,complication_to,贫血
贫血,complication_to,子宫腺肌病
子宫腺肌病,complication_to,出血
出血,complication_to,子宫腺肌病
子宫腺肌病,complication_to,感染
感染,complication_to,子宫腺肌病
子宫腺肌病,treated_by,.
.,to_treat,子宫腺肌病
子宫腺肌病,related_to,子宫肌瘤
子宫肌瘤,related_to,子宫腺肌病
子宫腺肌病,related_to,硬化剂治疗引起的食管损害
硬化剂治疗引起的食管损害,related_to,子宫腺肌病
子宫腺肌病,related_to,子宫囊肿
子宫囊肿,related_to,子宫腺肌病
子宫腺肌病,treated_by,益母草
益母草,to_treat,子宫腺肌病
甲状腺肿瘤,contains_symptom,甲状腺肿
甲状腺肿,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,出血
出血,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,结节
结节,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,疼痛...
疼痛...,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,淋巴结肿大
淋巴结肿大,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,甲状腺癌
甲状腺癌,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,结节性甲状腺肿
结节性甲状腺肿,symptom_of,甲状腺肿瘤
甲状腺肿瘤,contains_symptom,肿瘤
肿瘤,symptom_of,甲状腺肿瘤
甲状腺肿瘤,caused_by,甲状腺癌
甲状腺癌,lead_to,甲状腺肿瘤
甲状腺肿瘤,caused_by,结节性甲状腺肿
结节性甲状腺肿,lead_to,甲状腺肿瘤
甲状腺肿瘤,treated_by,毒蛇咬伤
毒蛇咬伤,to_treat,甲状腺肿瘤
甲状腺肿瘤,related_to,类肉瘤病
类肉瘤病,related_to,甲状腺肿瘤
甲状腺肿瘤,related_to,肿瘤
肿瘤,related_to,甲状腺肿瘤
甲状腺肿瘤,related_to,甲状腺结节
甲状腺结节,related_to,甲状腺肿瘤
甲状腺肿瘤,related_to,甲状旁腺功能亢进症
甲状旁腺功能亢进症,related_to,甲状腺肿瘤
甲状腺肿瘤,treated_by,甲状腺片
甲状腺片,to_treat,甲状腺肿瘤
甲状腺肿瘤,treated_by,左旋甲状腺素
左旋甲状腺素,to_treat,甲状腺肿瘤
智能发育迟缓,contains_symptom,癫痫发作
癫痫发作,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,大小便失禁
大小便失禁,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,瘫痪
瘫痪,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,耳聋
耳聋,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,共济失调
共济失调,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,震颤
震颤,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,流产
流产,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,无力
无力,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,癫痫持续状态
癫痫持续状态,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,感染
感染,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,呕吐
呕吐,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,反应迟钝
反应迟钝,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,小儿癫痫
小儿癫痫,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,疼痛...
疼痛...,symptom_of,智能发育迟缓
智能发育迟缓,contains_symptom,囊肿
囊肿,symptom_of,智能发育迟缓
智能发育迟缓,treated_by,卡马西平
卡马西平,to_treat,智能发育迟缓
智能发育迟缓,complication_to,耳聋
耳聋,complication_to,智能发育迟缓
智能发育迟缓,complication_to,癫痫持续状态
癫痫持续状态,complication_to,智能发育迟缓
智能发育迟缓,complication_to,发育迟缓
发育迟缓,complication_to,智能发育迟缓
智能发育迟缓,complication_to,唇腭裂
唇腭裂,complication_to,智能发育迟缓
智能发育迟缓,check_item,核磁共振成像mri
核磁共振成像mri,checked_for,智能发育迟缓
智能发育迟缓,check_item,腹部mri检查
腹部mri检查,checked_for,智能发育迟缓
智能发育迟缓,related_to,肿瘤
肿瘤,related_to,智能发育迟缓
智能发育迟缓,related_to,卵巢恶性中胚叶混合瘤
卵巢恶性中胚叶混合瘤,related_to,智能发育迟缓
智能发育迟缓,related_to,非惊厥性se
非惊厥性se,related_to,智能发育迟缓
附睾慢性炎症,contains_symptom,结节
结节,symptom_of,附睾慢性炎症
附睾慢性炎症,contains_symptom,......压痛
......压痛,symptom_of,附睾慢性炎症
附睾慢性炎症,contains_symptom,疼痛...
疼痛...,symptom_of,附睾慢性炎症
附睾慢性炎症,contains_symptom,淋巴结节
淋巴结节,symptom_of,附睾慢性炎症
附睾慢性炎症,contains_symptom,......咳嗽
......咳嗽,symptom_of,附睾慢性炎症
附睾慢性炎症,related_to,肿瘤
肿瘤,related_to,附睾慢性炎症
附睾慢性炎症,related_to,卵巢恶性中胚叶混合瘤
卵巢恶性中胚叶混合瘤,related_to,附睾慢性炎症
附睾慢性炎症,treated_by,齐多夫定拉米夫定
齐多夫定拉米夫定,to_treat,附睾慢性炎症
干姜,to_treat,急性上呼吸道感染
急性上呼吸道感染,treated_by,干姜
肛裂,treated_by,甘油
甘油,to_treat,肛裂
肛裂,treated_by,硝酸甘油
硝酸甘油,to_treat,肛裂
肛裂,treated_by,高锰酸钾
高锰酸钾,to_treat,肛裂
肛裂,contains_symptom,肛门瘙痒
肛门瘙痒,symptom_of,肛裂
肛裂,contains_symptom,腹泻病
腹泻病,symptom_of,肛裂
肛裂,contains_symptom,瘙痒
瘙痒,symptom_of,肛裂
肛裂,contains_symptom,溃疡
溃疡,symptom_of,肛裂
肛裂,contains_symptom,疼痛...
疼痛...,symptom_of,肛裂
肛裂,contains_symptom,出血
出血,symptom_of,肛裂
肛裂,contains_symptom,便秘
便秘,symptom_of,肛裂
肛裂,related_to,出血
出血,related_to,肛裂
肛裂,related_to,痔
痔,related_to,肛裂
肛裂,related_to,腹泻病
腹泻病,related_to,肛裂
肛裂,caused_by,便秘
便秘,lead_to,肛裂
肛裂,treated_by,乳果糖
乳果糖,to_treat,肛裂
物理性变应性荨麻疹,contains_symptom,荨麻疹
荨麻疹,symptom_of,物理性变应性荨麻疹
物理性变应性荨麻疹,contains_symptom,水肿
水肿,symptom_of,物理性变应性荨麻疹
物理性变应性荨麻疹,contains_symptom,休克
休克,symptom_of,物理性变应性荨麻疹
物理性变应性荨麻疹,contains_symptom,风团
风团,symptom_of,物理性变应性荨麻疹
物理性变应性荨麻疹,related_to,敏感性皮肤
敏感性皮肤,related_to,物理性变应性荨麻疹
物理性变应性荨麻疹,related_to,痤疮
痤疮,related_to,物理性变应性荨麻疹
